"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 13 02:48:41 UTC 2023","Sun Aug 13 02:48:45 UTC 2023","3535","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Aug 13 03:33:10 UTC 2023","Sun Aug 13 03:33:24 UTC 2023","13895","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Sun Aug 13 02:48:45 UTC 2023","Sun Aug 13 02:48:57 UTC 2023","12120","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sun Aug 13 02:49:41 UTC 2023","Sun Aug 13 02:49:42 UTC 2023","448","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Aug 13 03:11:49 UTC 2023","Sun Aug 13 03:11:49 UTC 2023","349","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Sun Aug 13 02:25:58 UTC 2023","Sun Aug 13 02:26:02 UTC 2023","4308","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Aug 13 03:33:30 UTC 2023","Sun Aug 13 03:33:33 UTC 2023","3095","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sun Aug 13 03:47:39 UTC 2023","Sun Aug 13 03:47:41 UTC 2023","1397","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sun Aug 13 03:12:43 UTC 2023","Sun Aug 13 03:12:44 UTC 2023","850","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sun Aug 13 03:44:48 UTC 2023","Sun Aug 13 03:44:50 UTC 2023","2435","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Sun Aug 13 02:39:44 UTC 2023","Sun Aug 13 02:39:54 UTC 2023","9777","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Sun Aug 13 02:26:44 UTC 2023","Sun Aug 13 02:26:56 UTC 2023","12462","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sun Aug 13 02:40:25 UTC 2023","Sun Aug 13 02:40:33 UTC 2023","8495","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sun Aug 13 02:42:23 UTC 2023","Sun Aug 13 02:43:33 UTC 2023","70178","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Sun Aug 13 03:49:44 UTC 2023","Sun Aug 13 03:50:09 UTC 2023","24780","","21. Forgot password function","","","","2. Reset password",""
"passed","Sun Aug 13 02:20:38 UTC 2023","Sun Aug 13 02:20:57 UTC 2023","19103","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sun Aug 13 04:00:52 UTC 2023","Sun Aug 13 04:01:01 UTC 2023","8879","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Sun Aug 13 03:44:38 UTC 2023","Sun Aug 13 03:44:48 UTC 2023","9752","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sun Aug 13 02:48:57 UTC 2023","Sun Aug 13 02:49:00 UTC 2023","3527","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sun Aug 13 03:12:01 UTC 2023","Sun Aug 13 03:12:28 UTC 2023","26997","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sun Aug 13 02:43:48 UTC 2023","Sun Aug 13 02:45:00 UTC 2023","72177","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Sun Aug 13 02:49:38 UTC 2023","Sun Aug 13 02:49:41 UTC 2023","3623","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Aug 13 02:34:02 UTC 2023","Sun Aug 13 02:34:11 UTC 2023","8793","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
